group_id,kept_image,removed_images,label_status,original_labels
group_0001,img_23.jpg,img_24.jpg,equivalent,tab atconate;tab atconate
group_0002,img_28.jpg,img_29.jpg,equivalent,na dard;na dard
group_0003,img_403.jpg,img_404.jpg,equivalent,Aristovit;Aristovit
group_0004,img_689.jpg,img_691.jpg,equivalent,Calbo-D;Calbo-D
group_0005,,img_690.jpg;img_803.jpg,conflict,Calbo-D;Calcor-D
group_0006,img_789.jpg,img_802.jpg,equivalent,Calcor-D;Calcor-D
group_0007,img_790.jpg,img_807.jpg,equivalent,Calcor-D;Calcor-D
group_0008,,img_889.jpg;img_1198.jpg,conflict,Carulcal D;Corulcal-D
group_0009,img_1112.jpg,img_1113.jpg,equivalent,Clavutil;Clavutil
group_0010,img_1165.jpg,img_1166.jpg,equivalent,Conit XR;Conit-XR
group_0011,img_1238.jpg,img_1239.jpg,equivalent,Defalin;Defalin
group_0012,img_1943.jpg,img_1944.jpg,equivalent,Esprazo;Esprazo
group_0013,img_2377.jpg,img_2378.jpg,equivalent,Geoton;Geoton
group_0014,img_3548.jpg,img_3557.jpg,equivalent,Neuro-B;Neuro-B
group_0015,img_3549.jpg,img_3572.jpg,equivalent,Neuro-B;Neuro-B
group_0016,img_3550.jpg,img_3579.jpg,equivalent,Neuro-B;Neuro-B
group_0017,img_3687.jpg,img_3688.jpg,equivalent,Nexe;Nexe
group_0018,img_3689.jpg,img_3713.jpg,equivalent,Nexe;Nexe
group_0019,img_3850.jpg,img_3853.jpg,equivalent,Nexum;Nexum
group_0020,img_4252.jpg,img_4253.jpg,equivalent,PG;PG
group_0021,img_4322.jpg,img_4323.jpg,equivalent,Pronex;Pronex
group_0022,img_5577.jpg,img_5578.jpg,equivalent,Xyflo;Xyflo
group_0023,,img_5580.jpg;img_5593.jpg,conflict,Xylin;Xyril
group_0024,img_5710.png,img_5711.png,equivalent,Atrizin;Atrizin
group_0025,img_5769.png,img_5777.png,equivalent,Backtone;Backtone
group_0026,img_5791.png,img_5794.png,equivalent,Baclon;Baclon
group_0027,img_5818.png,img_5820.png,equivalent,Bicozin;Bicozin
group_0028,img_5878.png,img_5880.png,equivalent,Denixil;Denixil
group_0029,img_5881.png,img_5884.png;img_5885.png,equivalent,Denixil;Denixil;Denixil
group_0030,img_5888.png,img_5890.png,equivalent,Diflu;Diflu
group_0031,img_5904.png,img_5906.png,equivalent,Dinafex;Dinafex
group_0032,img_5905.png,img_5907.png,equivalent,Dinafex;Dinafex
group_0033,img_5951.png,img_5954.png,equivalent,Exium;Exium
group_0034,img_5960.png,img_5964.png,equivalent,Fenadin;Fenadin
group_0035,img_6020.png,img_6021.png,equivalent,Flexibac;Flexibac
group_0036,img_6028.png,img_6030.png,equivalent,Flexilax;Flexilax
group_0037,img_6048.png,img_6050.png,equivalent,Ketocon;Ketocon
group_0038,img_6049.png,img_6057.png,equivalent,Ketocon;Ketocon
group_0039,img_6051.png,img_6054.png,equivalent,Ketocon;Ketocon
group_0040,img_6055.png,img_6056.png,equivalent,Ketocon;Ketocon
group_0041,img_6058.png,img_6060.png,equivalent,Ketoral;Ketoral
group_0042,img_6078.png,img_6080.png,equivalent,Ketozol;Ketozol
group_0043,img_6110.png,img_6111.png,equivalent,Lumona;Lumona
